product_id;product_name;brand;package_quantity;package_unit;product_category;from_date;to_date;percentage_of_discount
P004;iaurt grecesc;Proxi;0.4;kg;lactate;2025-05-15;2025-05-21;9
P007;ouă mărimea M;Din Ogradă;10;buc;ouă;2025-05-15;2025-05-21;9
P020;spaghetti nr.5;Barilla;500;g;paste făinoase;2025-05-16;2025-05-22;15
P024;apă plată;Aqua Carpatica;2;l;băuturi;2025-05-17;2025-05-23;7
P030;ulei floarea-soarelui;Spornic;1;l;alimente de bază;2025-05-15;2025-05-21;6
P039;detergent lichid;Dero;2.5;l;produse de menaj;2025-05-16;2025-05-22;18
P045;hârtie igienică 3 straturi;Motto;10;role;produse de menaj;2025-05-17;2025-05-23;12
P051;vin alb demisec;Cotnari;0.75;l;băuturi;2025-05-15;2025-05-21;10
P059;morcovi;Generic;0.5;kg;legume și fructe;2025-05-16;2025-05-22;5
P067;orez bob lung;Deroni;1;kg;alimente de bază;2025-05-17;2025-05-23;8
P068;iaurt de băut;Activia;0.33;kg;lactate;2025-05-15;2025-05-21;10
P069;pastă de dinți;Colgate;100;ml;îngrijire personală;2025-05-16;2025-05-22;15
P070;bere blondă;Ursus;0.5;l;băuturi;2025-05-17;2025-05-23;6
